"Empty dwellings on 1st June 2023 by canton","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","T 09.03.04.03"
NA,"Total
dwelling
stock on
the
31.12.20221)","Empty dwellings with … rooms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"1",2,3,4,5,"6+","Total","of which",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFH3)","new4)","for rent","for sale","Proportion of empty dwellings2)"
"Total","4741917","4930",9598,17492,14205,5177,"3363","54765","6124","4131","44213","10552","1.1499999999999999"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Geneva region","950481","1335",1846,2789,2119,932,"833","9854","1319","778","6978","2876","1.04"
"Waadt","432941","494",797,1226,833,424,"456","4230","660","186","3301","929","0.98"
"Wallis","271303","635",840,1300,1130,413,"265","4583","571","577","2835","1748","1.69"
"Geneva","246237","206",209,263,156,95,"112","1041","88","15","842","199","0.42"
"Espace Mittelland","1035277","1288",2685,5768,4645,1473,"772","16631","1619","995","14270","2361","1.61"
"Bern","587888","661",1213,2587,2253,713,"390","7817","685","439","6591","1226","1.33"
"Freiburg","163750","229",445,719,555,207,"98","2253","315","188","1954","299","1.38"
"Solothurn","144304","193",541,1247,977,330,"157","3445","405","164","3022","423","2.39"
"Neuenburg","98542","137",307,789,454,94,"43","1824","43","29","1748","76","1.85"
"Jura","40793","68",179,426,406,129,"84","1292","171","175","955","337","3.17"
"North-western Switzerland","603405","530",1304,2550,1885,710,"387","7366","767","511","6063","1303","1.22"
"Basel-Stadt","115005","194",369,455,156,33,"22","1229","13","55","1187","42","1.07"
"Basel-Landschaft","147486","31",176,604,414,89,"45","1359","91","109","1212","147","0.92"
"Aargau","340914","305",759,1491,1315,588,"320","4778","663","347","3664","1114","1.4"
"Zurich","778908","346",671,1191,1073,526,"296","4103","620","451","3245","858","0.53"
"Eastern Switzerland","701160","688",1416,2300,2350,866,"604","8224","930","503","6614","1610","1.17"
"Glarus","23553","19",56,68,100,30,"21","294","47","12","247","47","1.25"
"Schaffhausen","44804","23",61,157,127,63,"49","480","56","29","370","110","1.07"
"Appenzell A.Rh.","29981","19",68,91,96,35,"50","359","62","28","260","99","1.2"
"Appenzell I.Rh.","8405","19",21,30,22,14,"28","134","26","4","125","9","1.59"
"St.Gallen","270829","342",677,1129,1079,385,"222","3834","326","204","3312","522","1.42"
"Graubünden","180966","118",224,248,274,103,"90","1057","148","64","653","404","0.57999999999999996"
"Thurgau","142622","148",309,577,652,236,"144","2066","265","162","1647","419","1.45"
"Central Switzerland","419367","263",463,967,815,347,"243","3098","263","260","2351","747","0.74"
"Lucerne","208942","188",308,680,527,178,"128","2009","121","129","1683","326","0.96"
"Uri","21419","6",24,49,35,13,"11","138","15","21","91","47","0.64"
"Schwyz","82399","32",54,106,115,66,"40","413","56","27","262","151","0.5"
"Obwalden","22518","9",15,27,20,17,"8","96","11","2","61","35","0.43"
"Nidwalden","22942","16",32,40,61,28,"11","188","13","30","159","29","0.82"
"Zug","61147","12",30,65,57,45,"45","254","47","51","95","159","0.42"
"Ticino","253319","480",1213,1927,1318,323,"228","5489","606","633","4692","797","2.17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1) Basis: Buildings and Dwellings statistic (BDS2022)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2) Since 2010 the dwelling vacancy rate has been calculated on the basis of the dwelling stock from the Buildings and Dwellings statistic (BDS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3) In single family houses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4) In new buildings (up to 2 years old)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data as of: 11.09.2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Information: info.bau@bfs.admin.ch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"© FSO 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
