"Coefficients d'impôt en pourcentage (%)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20"
"2024.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Impôt sur le revenu",NA,NA,NA,NA,"Impôt sur la fortune",NA,NA,NA,NA,"Bénéfice",NA,NA,"Capital",NA,NA
"Canton-Id","Canton","OFS-Id","Commune","Canton","Commune","Église réformée","Église catholique-romaine","Église catholique-chrétienne","Canton","Commune","Église réformée","Église catholique-romaine","Église catholique-chrétienne","Canton","Commune","Église","Canton","Commune","Église"
"1.0","ZH","131.0","Adliswil","98.0","102.0","10.0","10.0","14.0","98.0","102.0","10.0","10.0","14.0","98.0","112.0","0.0","98.0","112.0","0.0"
"1.0","ZH","241.0","Aesch (ZH)","98.0","91.0","11.0","10.0","14.0","98.0","91.0","11.0","10.0","14.0","98.0","101.61","0.0","98.0","101.61","0.0"
"1.0","ZH","1.0","Aeugst am Albis","98.0","92.0","12.0","13.0","14.0","98.0","92.0","12.0","13.0","14.0","98.0","104.35","0.0","98.0","104.35","0.0"
"1.0","ZH","2.0","Affoltern am Albis","98.0","124.0","12.0","13.0","14.0","98.0","124.0","12.0","13.0","14.0","98.0","136.5","0.0","98.0","136.5","0.0"
"1.0","ZH","211.0","Altikon","98.0","114.0","12.0","13.0","14.0","98.0","114.0","12.0","13.0","14.0","98.0","126.18","0.0","98.0","126.18","0.0"
"1.0","ZH","291.0","Andelfingen","98.0","114.0","12.0","14.0","14.0","98.0","114.0","12.0","14.0","14.0","98.0","126.5","0.0","98.0","126.5","0.0"
"1.0","ZH","51.0","Bachenbülach","98.0","106.0","10.0","11.0","14.0","98.0","106.0","10.0","11.0","14.0","98.0","116.46","0.0","98.0","116.46","0.0"
"1.0","ZH","81.0","Bachs","98.0","128.0","14.0","10.0","14.0","98.0","128.0","14.0","10.0","14.0","98.0","141.0","0.0","98.0","141.0","0.0"
"1.0","ZH","52.0","Bassersdorf","98.0","114.0","12.0","9.0","14.0","98.0","114.0","12.0","9.0","14.0","98.0","124.53","0.0","98.0","124.53","0.0"
"1.0","ZH","297.0","Bauma","98.0","120.0","14.0","13.0","14.0","98.0","120.0","14.0","13.0","14.0","98.0","133.7","0.0","98.0","133.7","0.0"
"1.0","ZH","22.0","Benken (ZH)","98.0","110.0","14.0","14.0","14.0","98.0","110.0","14.0","14.0","14.0","98.0","124.0","0.0","98.0","124.0","0.0"
"1.0","ZH","23.0","Berg am Irchel","98.0","98.0","12.0","13.0","14.0","98.0","98.0","12.0","13.0","14.0","98.0","110.14","0.0","98.0","110.14","0.0"
"1.0","ZH","242.0","Birmensdorf (ZH)","98.0","112.0","11.0","10.0","14.0","98.0","112.0","11.0","10.0","14.0","98.0","122.54","0.0","98.0","122.54","0.0"
"1.0","ZH","3.0","Bonstetten","98.0","110.0","12.0","11.0","14.0","98.0","110.0","12.0","11.0","14.0","98.0","121.56","0.0","98.0","121.56","0.0"
"1.0","ZH","82.0","Boppelsen","98.0","94.0","13.0","10.0","14.0","98.0","94.0","13.0","10.0","14.0","98.0","105.95","0.0","98.0","105.95","0.0"
"1.0","ZH","213.0","Brütten","98.0","89.0","12.0","13.0","14.0","98.0","89.0","12.0","13.0","14.0","98.0","101.28","0.0","98.0","101.28","0.0"
"1.0","ZH","112.0","Bubikon","98.0","118.0","14.0","12.0","14.0","98.0","118.0","14.0","12.0","14.0","98.0","131.62","0.0","98.0","131.62","0.0"
"1.0","ZH","24.0","Buch am Irchel","98.0","106.0","12.0","13.0","14.0","98.0","106.0","12.0","13.0","14.0","98.0","118.18","0.0","98.0","118.18","0.0"
