price,number_of_rooms,square_meters,address,canton,property_type,floor,year_category
"CHF 690,000.–",5.5 rooms,165m²,"Provence, 1428 Provence",vaud,Apartment,eg,0-1919
"CHF 1,800,000.–",6.5 rooms,240m²,1844 Villeneuve VD,vaud,Apartment,eg,0-1919
"CHF 1,980,000.–",5.5 rooms,245m²,1820 Montreux,vaud,Apartment,eg,0-1919
"CHF 488,000.–",3.5 rooms,80m²,1882 Gryon,vaud,Apartment,eg,0-1919
"CHF 1,755,000.–",7 rooms,,1820 Montreux,vaud,Apartment,eg,0-1919
"CHF 795,000.–",3.5 rooms,115m²,1071 Chexbres,vaud,Apartment,eg,0-1919
"CHF 2,300,000.–",8.5 rooms,300m²,1143 Apples,vaud,Apartment,eg,0-1919
"CHF 5,900,000.–",6.5 rooms,250m²,1820 Montreux,vaud,Apartment,eg,0-1919
"CHF 825,000.–",4.5 rooms,134m²,1377 Oulens-sous-Echallens,vaud,Apartment,eg,0-1919
"CHF 720,000.–",3.5 rooms,78m²,1112 Echichens,vaud,Apartment,eg,0-1919
"CHF 330,000.–",3.5 rooms,90m²,1659 Flendruz,vaud,Apartment,eg,0-1919
"CHF 1,130,000.–",3.5 rooms,147m²,1802 Corseaux,vaud,Apartment,eg,1919-1945
"CHF 1,130,000.–",3.5 rooms,108m²,1802 Corseaux,vaud,Apartment,eg,1919-1945
"CHF 195,000.–",2 rooms,37m²,1885 Chesières,vaud,Apartment,eg,1919-1945
"CHF 850,000.–",5.5 rooms,105m²,"Les Diablotins, 1865 Les Diablerets",vaud,Apartment,eg,1946-1960
"CHF 945,000.–",4.5 rooms,119m²,"Les Diablotins, 1865 Les Diablerets",vaud,Apartment,eg,1946-1960
"CHF 945,000.–",4.5 rooms,132m²,"Les Diablotins, 1865 Les Diablerets",vaud,Apartment,eg,1946-1960
"CHF 1,950,000.–",5.5 rooms,160m²,"Chemin de Burquenet 27, 1095 Lutry",vaud,Apartment,eg,1961-1970
"CHF 1,490,000.–",6.5 rooms,190m²,"Epalinges, 1066 Epalinges",vaud,Apartment,eg,1961-1970
"CHF 299,000.–",2.5 rooms,67m²,1882 Gryon,vaud,Apartment,eg,1961-1970
"CHF 1,390,000.–",4.5 rooms,120m²,1817 Brent,vaud,Apartment,eg,1961-1970
"CHF 1,090,000.–",5 rooms,145m²,1009 Pully,vaud,Apartment,eg,1961-1970
"CHF 445,000.–",1 room,,1007 Lausanne,vaud,Apartment,eg,1961-1970
"CHF 399,000.–",2.5 rooms,57m²,"Chemin du Pierrier 5, 1815 Clarens",vaud,Apartment,eg,1961-1970
"CHF 1,240,000.–",4.5 rooms,95m²,1052 Le Mont-sur-Lausanne,vaud,Apartment,eg,1961-1970
"CHF 320,000.–",1 room,30m²,1815 Clarens,vaud,Apartment,eg,1961-1970
"CHF 690,000.–",3.5 rooms,101m²,1072 Forel (Lavaux),vaud,Apartment,eg,1961-1970
"CHF 1,310,000.–",6.5 rooms,191m²,1072 Forel (Lavaux),vaud,Apartment,eg,1961-1970
"CHF 800,000.–",5.5 rooms,126m²,1041 Poliez-Pittet,vaud,Apartment,eg,1961-1970
"CHF 550,000.–",3.5 rooms,52m²,1033 Cheseaux-sur-Lausanne,vaud,Apartment,eg,1961-1970
"CHF 1,050,000.–",6.5 rooms,189m²,1854 Leysin,vaud,Apartment,eg,1971-1980
"CHF 695,000.–",3 rooms,68m²,1885 Chesières,vaud,Apartment,eg,1971-1980
"CHF 740,000.–",3.5 rooms,75m²,1807 Blonay,vaud,Apartment,eg,1971-1980
"CHF 655,000.–",4 rooms,,1885 Chesières,vaud,Apartment,eg,1971-1980
"CHF 1,810,000.–",4.5 rooms,135m²,1815 Clarens,vaud,Apartment,eg,1971-1980
"CHF 488,000.–",3.5 rooms,80m²,1882 Gryon,vaud,Apartment,eg,1971-1980
"CHF 1,810,000.–",4.5 rooms,138m²,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 1,250,000.–",4.5 rooms,127m²,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 630,000.–",2 rooms,60m²,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 895,000.–",4.5 rooms,114m²,1807 Blonay,vaud,Apartment,eg,1971-1980
"CHF 310,000.–",2 rooms,50m²,1882 Gryon,vaud,Apartment,eg,1971-1980
"CHF 1,200,000.–",5 rooms,107m²,1009 Pully,vaud,Apartment,eg,1971-1980
"CHF 900,000.–",5 rooms,107m²,1009 Pully,vaud,Apartment,eg,1971-1980
"CHF 700,000.–",3.5 rooms,94m²,"Chemin de l'Ancien Comté, 1660 Château-d’Œx",vaud,Apartment,eg,1971-1980
"CHF 1,810,000.–",4.5 rooms,150m²,1820 Montreux,vaud,Apartment,eg,1971-1980
"CHF 640,000.–",5 rooms,100m²,1400 Yverdon-les-Bains,vaud,Apartment,eg,1981-1990
