"price","number_of_rooms","address","canton","property_type","floor","year_category","Impôt cantonal_impots","Impôt communal_impots","Impôt paroissial Evang. / réform_impots","Impôt paroissial Kath. / cath.rom_impots"
1800000,65,"1844 Villeneuve VD","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
1980000,55,"1820 Montreux","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
488000,35,"1882 Gryon","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
1755000,7,"1820 Montreux","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
650000,25,"1815 Clarens","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
1490000,45,"1260 Nyon","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
795000,35,"1071 Chexbres","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
2300000,85,"1143 Apples","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
5900000,65,"1820 Montreux","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
825000,45,"1377 Oulens-sous-Echallens","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
720000,35,"1112 Echichens","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
330000,35,"1659 Flendruz","Vaud","Apartment","eg","0-1919","1.55",0.785,NA,NA
1130000,35,"1802 Corseaux","Vaud","Apartment","eg","1919-1945","1.55",0.785,NA,NA
1130000,35,"1802 Corseaux","Vaud","Apartment","eg","1919-1945","1.55",0.785,NA,NA
195000,2,"1885 Chesières","Vaud","Apartment","eg","1919-1945","1.55",0.785,NA,NA
393000,35,"1820 Veytaux","Vaud","Apartment","eg","1919-1945","1.55",0.785,NA,NA
850000,55,"Les Diablotins, 1865 Les Diablerets","Vaud","Apartment","eg","1946-1960","1.55",0.785,NA,NA
945000,45,"Les Diablotins, 1865 Les Diablerets","Vaud","Apartment","eg","1946-1960","1.55",0.785,NA,NA
945000,45,"Les Diablotins, 1865 Les Diablerets","Vaud","Apartment","eg","1946-1960","1.55",0.785,NA,NA
2591550,45,"Chemin de Burquenet 27, 1095 Lutry","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1980210,55,"Epalinges, 1066 Epalinges","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
397370,35,"1882 Gryon","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1448610,4,"1009 Pully","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
591400,2,"1007 Lausanne","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1847310,35,"1817 Brent","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
530270,35,"Chemin du Pierrier 5, 1815 Clarens","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1647960,35,"1052 Le Mont-sur-Lausanne","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
425280,2,"1815 Clarens","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
917010,45,"1072 Forel (Lavaux)","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1740990,55,"1072 Forel (Lavaux)","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1063200,45,"1041 Poliez-Pittet","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
730950,45,"1033 Cheseaux-sur-Lausanne","Vaud","Apartment","eg","1961-1970","1.55",0.785,NA,NA
1050000,65,"1854 Leysin","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
695000,3,"1885 Chesières","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
740000,35,"1807 Blonay","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
655000,4,"1885 Chesières","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
1810000,45,"1815 Clarens","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
488000,35,"1882 Gryon","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
1810000,45,"1820 Montreux","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
1250000,45,"1820 Montreux","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
630000,2,"1820 Montreux","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
895000,45,"1807 Blonay","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
310000,2,"1882 Gryon","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
1200000,5,"1009 Pully","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
9e+05,5,"1009 Pully","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
1810000,45,"1820 Montreux","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
990000,35,"1802 Corseaux","Vaud","Apartment","eg","1971-1980","1.55",0.785,NA,NA
890000,35,"Les Vergers-de-la-Gottaz 11, 1110 Morges","Vaud","Apartment","eg","1981-1990","1.55",0.785,NA,NA
1580000,35,"1009 Pully","Vaud","Apartment","eg","1981-1990","1.55",0.785,NA,NA
895000,35,"1820 Territet","Vaud","Apartment","eg","1981-1990","1.55",0.785,NA,NA
1180000,45,"1820 Territet","Vaud","Apartment","eg","1981-1990","1.55",0.785,NA,NA
1290000,65,"1885 Chesières","Vaud","Apartment","eg","1981-1990","1.55",0.785,NA,NA
